ObsID,Triad1A,Triad1B,Triad1C,Triad2A,Triad2B,Triad2C,Triad3A,Triad3B,Triad3C,Factor1,Factor2,FactorC,Time
1,32.198433,37.19212,30.609447,41.578907,30.295572,28.125519,65.6417,19.45813,14.90017,Mars,Yes,B,Time1
2,44.256367,9.359604,46.384033,38.817734,42.364532,18.817734,26.208988,46.30542,27.485592,Venus,Yes,A,Time1
3,48.557705,3.2061691,48.236122,31.921059,38.18154,29.897398,31.00292,39.16676,29.830322,Uranus,Yes,B,Time1
4,82.85595,9.605911,7.538146,4.1780567,86.45321,9.36874,0.69847417,75.61576,23.685759,Jupiter,No,C,Time1
5,31.321749,40.640396,28.037855,53.925495,23.39901,22.675497,34.770027,33.743843,31.48613,Mars,Yes,C,Time1
6,91.89201,7.6354675,0.47252077,27.833817,45.07389,27.092293,33.60738,35.221672,31.170946,Mars,No,A,Time1
7,7.304392,92.50716,0.18845206,7.2923584,90.39409,2.3135498,3.1156042,4.679802,92.20459,Jupiter,Yes,A,Time1
8,34.018593,8.128076,57.85333,8.455005,88.91626,2.6287353,30.61206,38.66995,30.717987,Mars,No,A,Time1
9,9.223145,83.99014,6.7867093,12.041047,80.04926,7.90969,11.72586,81.52709,6.747051,Jupiter,No,A,Time1
10,49.89938,1.477829,48.622787,4.624253,94.58128,0.7944678,37.517036,27.093597,35.389366,Mars,Yes,D,Time1
11,46.7865,3.4482803,49.76522,32.657997,35.960594,31.381407,5.470081,47.783245,46.74667,Venus,No,B,Time1
12,6.6753945,11.330048,81.99456,7.055872,8.866997,84.07714,84.07715,8.866997,7.055863,Mars,Yes,A,Time1
13,50.67134,0.24630737,49.082355,25.3979,25.36946,49.23264,31.21321,39.162563,29.624228,Mars,Yes,C,Time1
14,1.1681201,41.625614,57.20627,29.735378,42.11823,28.146395,10.999468,10.098526,78.90201,Mars,No,C,Time1
15,93.77424,3.9408877,2.2848756,29.948639,41.37931,28.672049,30.68756,39.901478,29.410967,Mars,Yes,B,Time1
16,46.369347,43.596058,10.034597,44.714092,46.059113,9.226799,46.083378,41.625614,12.291006,Mars,No,C,Time1
17,40.326515,20.93596,38.73753,9.905704,10.591133,79.50317,78.61866,9.605911,11.7754345,Mars,Yes,A,Time1
18,44.86113,9.852219,45.286655,30.575415,38.423645,31.000942,29.164654,40.394093,30.441254,Mars,No,A,Time1
19,31.137094,37.196316,31.666586,5.5789537,3.2061691,91.214874,64.92913,0.25050354,34.82036,Pluto,Yes,C,Time1
20,45.676342,11.083748,43.239906,44.897774,10.098526,45.0037,46.661568,9.1132965,44.225132,Pluto,Yes,A,Time1
21,9.183528,8.866997,81.949486,8.758,8.866997,82.37501,80.605804,9.852219,9.541977,Venus,Yes,A,Time1
22,83.77228,8.620689,7.607028,45.390385,9.1132965,45.496315,9.755415,85.46798,4.7766066,Saturns,Yes,D,Time1
23,58.839752,38.916252,2.2440004,6.115714,13.30049,80.5838,7.615561,6.8965516,85.487885,Mars,Yes,B,Time1
24,9.486167,86.45319,4.06064,10.359243,83.00492,6.635835,78.167656,12.068954,9.763395,Jupiter,No,C,Time1
25,30.78948,39.162563,30.047956,6.190255,6.1576385,87.652115,4.524562,2.7093582,92.76608,Venus,No,B,Time1
26,10.970245,13.546799,75.482956,31.70582,38.17734,30.116835,73.888756,10.591133,15.520112,Venus,Yes,B,Time1
27,52.206272,1.9704437,45.82329,5.8735914,51.23153,42.894882,2.7376587,47.29064,49.9717,Mars,Yes,C,Time1
28,30.336533,42.610836,27.052635,90.22632,4.187187,5.586491,32.730705,38.66995,28.599346,Jupiter,No,A,Time1
29,10.686397,12.565782,76.747826,9.820681,81.531296,8.6480255,16.59985,19.462326,63.937824,Saturns,Yes,A,Time1
30,50.324917,1.477829,48.19725,0.15722106,3.9408875,95.90189,95.18499,1.9704435,2.8445652,Mars,Yes,C,Time1
31,7.3528895,4.679802,87.96731,87.75283,3.2019649,9.045203,11.50878,78.57143,9.919795,Mercury,No,A,Time1
32,11.108012,11.576355,77.31563,78.30347,11.083748,10.612786,10.809522,82.512314,6.678164,Uranus,No,C,Time1
33,61.28752,33.25123,5.4612513,27.58751,45.566505,26.845985,26.001137,47.04434,26.954525,Jupiter,Yes,D,Time1
34,79.99838,11.083748,8.917871,11.669508,9.605911,78.72459,10.67385,5.665024,83.66113,Mars,Yes,B,Time1
35,76.60855,11.083748,12.307703,11.617317,80.04926,8.333421,81.33845,10.098526,8.563026,Jupiter,No,C,Time1
36,4.6518846,94.82758,0.52052736,35.41084,36.69951,27.889648,30.159103,42.11823,27.722668,Mars,Yes,D,Time1
37,40.180275,9.852219,49.96751,28.672043,41.37931,29.948647,0.5607422,7.38916,92.0501,Mercury,No,B,Time1
38,3.499684,2.216751,94.28356,30.050564,40.640396,29.30904,5.3219137,94.33498,0.34310547,Mars,Yes,A,Time1
39,97.70523,0.24630737,2.0484564,4.0611715,0.24630737,95.69252,7.9832687,1.7241365,90.29259,Mars,No,A,Time1
40,82.7474,8.128076,9.124521,18.764345,8.128076,73.107574,28.819036,43.103455,28.077513,Jupiter,No,D,Time1
41,50.46107,0.25050354,49.28842,48.070312,50.989426,0.9402636,50.214745,0.7431183,49.042145,Mars,No,D,Time1
42,99.15384,0.7389221,0.107233845,4.0611715,0.24630737,95.69252,10.644617,9.1132965,80.24208,Pluto,Yes,D,Time1
43,91.52672,0.73892206,7.7343516,85.18123,6.650244,8.16852,92.37418,0.7389221,6.886894,Mars,No,A,Time1
44,11.47955,82.01971,6.500742,12.8488455,77.586205,9.564949,81.47622,8.128076,10.395708,Mars,Yes,C,Time1
45,53.975475,0.98522186,45.039303,3.7731934,94.58128,1.6455274,4.1987205,94.58128,1.22,Pluto,No,B,Time1
46,48.179058,8.620689,43.20025,45.74523,10.098526,44.156246,65.04055,18.965515,15.993937,Venus,No,B,Time1
47,75.268486,12.068962,12.662551,11.72586,81.52709,6.747051,11.016167,79.55665,9.427182,Mars,No,C,Time1
48,44.69113,13.054185,42.254684,16.484983,77.0936,6.4214187,44.01274,28.817734,27.169525,Mars,Yes,A,Time1
49,94.21729,4.6798015,1.1028956,94.42394,1.7241365,3.8519151,13.992704,85.46798,0.5393164,Pluto,Yes,D,Time1
50,46.114662,3.9408875,49.94445,42.17273,2.4630585,55.364216,49.40677,2.4630585,48.130177,Uranus,No,B,Time1
51,76.43112,10.591133,12.977738,29.13423,41.625614,29.240154,18.804014,10.591133,70.60486,Mars,No,C,Time1
52,2.8004208,6.1576385,91.04194,6.622329,90.8867,2.4909716,49.947033,50,0.05296631,Mars,Yes,A,Time1
53,50.642117,3.69458,45.663307,23.824047,53.940887,22.235064,30.227991,41.133003,28.639008,Mars,No,C,Time1
54,82.55119,16.99507,0.45373532,33.705486,30.788177,35.506336,98.12896,0.24630737,1.6247278,Mars,Yes,C,Time1
55,53.36608,46.551723,0.08218994,0.86128545,27.832512,71.306206,0.003393555,21.92118,78.075424,Mars,No,C,Time1
56,11.423198,10.098526,78.47828,13.950962,61.82266,24.226383,10.878404,81.52709,7.594507,Mars,Yes,D,Time1
57,89.16177,1.2315294,9.606693,81.41776,15.024635,3.557598,82.35289,4.679802,12.967302,Uranus,Yes,A,Time1
58,50.19334,49.507393,0.29927,27.341206,46.059113,26.599682,6.238257,93.349754,0.4119873,Pluto,Yes,D,Time1
59,52.11994,0.7389221,47.141132,8.22857,91.65144,0.11998968,30.365753,39.162563,30.471684,Mars,No,B,Time1
60,6.5181932,7.38916,86.09264,86.27187,7.881775,5.846347,89.384766,5.911331,4.703909,Mars,Yes,C,Time1
61,11.972163,81.034485,6.993355,29.557955,41.625614,28.816431,11.863623,79.55665,8.579726,Venus,Yes,C,Time1
62,6.8289747,87.93104,5.23999,75.86963,12.561578,11.568788,81.09214,10.591133,8.316723,Venus,Yes,D,Time1
63,45.576984,2.4630585,51.95996,28.672043,41.37931,29.948647,30.441252,40.394093,29.164658,Mars,Yes,C,Time1
64,49.2506,7.881775,42.867622,32.366623,33.99015,33.643227,31.60571,38.916252,29.478043,Mars,No,C,Time1
65,30.887589,34.729065,34.38335,47.84718,40.640396,11.512429,57.61173,31.280783,11.1074915,Venus,No,A,Time1
66,7.512837,89.655174,2.8319874,29.231733,39.408867,31.359398,91.15397,4.9261093,3.9199245,Pluto,Yes,A,Time1
67,30.474293,40.640396,28.885311,8.6553955,22.413788,68.93082,4.1592774,95.812805,0.027919922,Uranus,No,B,Time1
68,29.769415,40.8867,29.343887,29.523108,41.37931,29.09758,6.6617727,89.655174,3.6830518,Mercury,Yes,C,Time1
